t=2024-10-30T20:19:56+0000 lvl=info msg="no configuration paths supplied"
t=2024-10-30T20:19:56+0000 lvl=info msg="using configuration at default config path" path=/home/rcpaffenroth/.config/ngrok/ngrok.yml
t=2024-10-30T20:19:56+0000 lvl=info msg="open config file" path=/home/rcpaffenroth/.config/ngrok/ngrok.yml err=nil
t=2024-10-30T20:19:56+0000 lvl=warn msg="can't bind default web address, trying alternatives" obj=web addr=127.0.0.1:4040
t=2024-10-30T20:19:56+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4042 allow_hosts=[]
t=2024-10-30T20:19:56+0000 lvl=info msg="client session established" obj=tunnels.session
t=2024-10-30T20:19:56+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=7460e94fabd2 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=756f72977e90 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=2aa7d2725815 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=c3967341381e l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=ee31502c8366 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=0d9bb31c2483 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=dc4146f2e3c1 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=51063b9b953b l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:42+0000 lvl=info msg="join connections" obj=join id=38ff3743edc8 l=127.0.0.1:31415 r=130.215.212.234:52861
t=2024-10-30T20:20:55+0000 lvl=info msg="join connections" obj=join id=f207d6037236 l=127.0.0.1:31415 r=130.215.220.199:61841
t=2024-10-30T20:21:02+0000 lvl=info msg="join connections" obj=join id=27d3a07b3708 l=127.0.0.1:31415 r=130.215.220.199:61841
